==============================
Running LSTM training for tiny
==============================
/scratch/dk5288/envs/cv6643/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
/scratch/dk5288/code/my_project/part3/train_rnn_scaling.py:103: DeprecationWarning: __array__ implementation doesn't accept a copy keyword, so passing copy=False failed. __array__ must implement 'dtype' and 'copy' keyword arguments.
  x[i] = self.tokens[start:end]
/scratch/dk5288/code/my_project/part3/train_rnn_scaling.py:104: DeprecationWarning: __array__ implementation doesn't accept a copy keyword, so passing copy=False failed. __array__ must implement 'dtype' and 'copy' keyword arguments.
  y[i] = self.tokens[start + 1 : end + 1]
==============================
Running LSTM training for tiny
==============================
[train] Using device: cuda
[train] Output directory: /scratch/dk5288/code/my_project/part3
[train] Vocab size: 99
[data] Loading from /scratch/dk5288/data/abc_char_corpus_98_1_1/train.txt (max_chars=100000256)
[data] Loaded 100000256 characters from /scratch/dk5288/data/abc_char_corpus_98_1_1/train.txt
[data] Loading from /scratch/dk5288/data/abc_char_corpus_98_1_1/val.txt (max_chars=1000256)
[data] Loaded 1000256 characters from /scratch/dk5288/data/abc_char_corpus_98_1_1/val.txt
[data] Encoding text to ids...
[data] Encoded 100000256 tokens
[data] Encoding text to ids...
[data] Encoded 1000256 tokens
[train] Train effective tokens: 100,000,000
[train] Val effective tokens:   1,000,000
[train] Tokens per step:        16,384
[train] Steps per epoch:        6,103
[train] Total train tokens:     99,991,552
[model] RNN config for tiny: {'n_layers': 1, 'd_model': 128}
[model] RNN tiny has 145,024 trainable parameters
[train] GPU memory at start: 0.55 MB
[train] Training for exactly one epoch over streaming batches
[train] step 1/6103 loss=5.1498 lr=1.97e-06 elapsed=0.00 min
[train] step 50/6103 loss=4.5089 lr=5.02e-05 elapsed=0.01 min
[train] step 100/6103 loss=3.1460 lr=9.93e-05 elapsed=0.01 min
[train] step 150/6103 loss=2.1082 lr=1.49e-04 elapsed=0.01 min
[train] step 200/6103 loss=1.8259 lr=1.98e-04 elapsed=0.02 min
[train] step 250/6103 loss=2.7199 lr=2.47e-04 elapsed=0.02 min
[train] step 300/6103 loss=1.8276 lr=2.96e-04 elapsed=0.02 min
[train] step 350/6103 loss=1.4770 lr=3.00e-04 elapsed=0.03 min
[train] step 400/6103 loss=1.4387 lr=3.00e-04 elapsed=0.03 min
[train] step 450/6103 loss=1.5717 lr=3.00e-04 elapsed=0.03 min
[train] step 500/6103 loss=2.0569 lr=2.99e-04 elapsed=0.04 min
[eval] step 500  val_loss=1.4968
[ckpt] Saved new best model to /scratch/dk5288/code/my_project/part3/rnn_tiny_best.pt
[train] step 550/6103 loss=1.5788 lr=2.99e-04 elapsed=0.04 min
[train] step 600/6103 loss=1.2347 lr=2.98e-04 elapsed=0.04 min
[train] step 650/6103 loss=1.3510 lr=2.97e-04 elapsed=0.05 min
[train] step 700/6103 loss=1.4097 lr=2.97e-04 elapsed=0.05 min
[train] step 750/6103 loss=1.5587 lr=2.96e-04 elapsed=0.05 min
[train] step 800/6103 loss=1.5871 lr=2.95e-04 elapsed=0.06 min
[train] step 850/6103 loss=1.5773 lr=2.94e-04 elapsed=0.06 min
[train] step 900/6103 loss=0.8134 lr=2.92e-04 elapsed=0.06 min
[train] step 950/6103 loss=1.3008 lr=2.91e-04 elapsed=0.07 min
[train] step 1000/6103 loss=1.3887 lr=2.89e-04 elapsed=0.07 min
[eval] step 1000  val_loss=1.3042
[ckpt] Saved new best model to /scratch/dk5288/code/my_project/part3/rnn_tiny_best.pt
[train] step 1050/6103 loss=1.1874 lr=2.88e-04 elapsed=0.07 min
[train] step 1100/6103 loss=1.3347 lr=2.86e-04 elapsed=0.08 min
[train] step 1150/6103 loss=1.4514 lr=2.85e-04 elapsed=0.08 min
[train] step 1200/6103 loss=1.2968 lr=2.83e-04 elapsed=0.08 min
[train] step 1250/6103 loss=0.9532 lr=2.81e-04 elapsed=0.09 min
[train] step 1300/6103 loss=1.3335 lr=2.79e-04 elapsed=0.09 min
[train] step 1350/6103 loss=1.2654 lr=2.77e-04 elapsed=0.09 min
[train] step 1400/6103 loss=1.1023 lr=2.74e-04 elapsed=0.10 min
[train] step 1450/6103 loss=1.6721 lr=2.72e-04 elapsed=0.10 min
[train] step 1500/6103 loss=1.5974 lr=2.70e-04 elapsed=0.10 min
[eval] step 1500  val_loss=1.2942
[ckpt] Saved new best model to /scratch/dk5288/code/my_project/part3/rnn_tiny_best.pt
[train] step 1550/6103 loss=1.4148 lr=2.67e-04 elapsed=0.11 min
[train] step 1600/6103 loss=1.5085 lr=2.65e-04 elapsed=0.11 min
[train] step 1650/6103 loss=1.9746 lr=2.62e-04 elapsed=0.11 min
[train] step 1700/6103 loss=1.3486 lr=2.59e-04 elapsed=0.12 min
[train] step 1750/6103 loss=1.2170 lr=2.56e-04 elapsed=0.12 min
[train] step 1800/6103 loss=1.1738 lr=2.53e-04 elapsed=0.12 min
[train] step 1850/6103 loss=1.1332 lr=2.50e-04 elapsed=0.13 min
[train] step 1900/6103 loss=1.0303 lr=2.47e-04 elapsed=0.13 min
[train] step 1950/6103 loss=1.0234 lr=2.44e-04 elapsed=0.13 min
[train] step 2000/6103 loss=1.0662 lr=2.41e-04 elapsed=0.14 min
[eval] step 2000  val_loss=1.2306
[ckpt] Saved new best model to /scratch/dk5288/code/my_project/part3/rnn_tiny_best.pt
[train] step 2050/6103 loss=0.9881 lr=2.38e-04 elapsed=0.14 min
[train] step 2100/6103 loss=1.0281 lr=2.34e-04 elapsed=0.15 min
[train] step 2150/6103 loss=1.3092 lr=2.31e-04 elapsed=0.15 min
[train] step 2200/6103 loss=0.0694 lr=2.28e-04 elapsed=0.15 min
[train] step 2250/6103 loss=0.0432 lr=2.24e-04 elapsed=0.15 min
[train] step 2300/6103 loss=0.0254 lr=2.21e-04 elapsed=0.16 min
[train] step 2350/6103 loss=0.0138 lr=2.17e-04 elapsed=0.16 min
[train] step 2400/6103 loss=0.0083 lr=2.13e-04 elapsed=0.16 min
[train] step 2450/6103 loss=0.0057 lr=2.10e-04 elapsed=0.17 min
[train] step 2500/6103 loss=0.0030 lr=2.06e-04 elapsed=0.17 min
[eval] step 2500  val_loss=2.8356
[train] step 2550/6103 loss=0.0027 lr=2.02e-04 elapsed=0.18 min
[train] step 2600/6103 loss=0.0027 lr=1.98e-04 elapsed=0.18 min
[train] step 2650/6103 loss=0.0027 lr=1.94e-04 elapsed=0.18 min
[train] step 2700/6103 loss=0.0026 lr=1.90e-04 elapsed=0.18 min
[train] step 2750/6103 loss=0.0026 lr=1.87e-04 elapsed=0.19 min
[train] step 2800/6103 loss=0.0026 lr=1.83e-04 elapsed=0.19 min
[train] step 2850/6103 loss=0.0026 lr=1.79e-04 elapsed=0.19 min
[train] step 2900/6103 loss=0.0026 lr=1.75e-04 elapsed=0.20 min
[train] step 2950/6103 loss=0.0026 lr=1.71e-04 elapsed=0.20 min
[train] step 3000/6103 loss=0.0026 lr=1.67e-04 elapsed=0.20 min
[eval] step 3000  val_loss=3.4533
[train] step 3050/6103 loss=0.0026 lr=1.63e-04 elapsed=0.21 min
[train] step 3100/6103 loss=0.0026 lr=1.58e-04 elapsed=0.21 min
[train] step 3150/6103 loss=0.0026 lr=1.54e-04 elapsed=0.21 min
[train] step 3200/6103 loss=0.0026 lr=1.50e-04 elapsed=0.22 min
[train] step 3250/6103 loss=0.0026 lr=1.46e-04 elapsed=0.22 min
[train] step 3300/6103 loss=0.0026 lr=1.42e-04 elapsed=0.22 min
[train] step 3350/6103 loss=0.0026 lr=1.38e-04 elapsed=0.23 min
[train] step 3400/6103 loss=0.0026 lr=1.34e-04 elapsed=0.23 min
[train] step 3450/6103 loss=0.0026 lr=1.30e-04 elapsed=0.23 min
[train] step 3500/6103 loss=0.0026 lr=1.26e-04 elapsed=0.24 min
[eval] step 3500  val_loss=3.4939
[train] step 3550/6103 loss=0.0026 lr=1.22e-04 elapsed=0.24 min
[train] step 3600/6103 loss=0.0026 lr=1.18e-04 elapsed=0.24 min
[train] step 3650/6103 loss=0.0026 lr=1.14e-04 elapsed=0.25 min
[train] step 3700/6103 loss=0.0026 lr=1.10e-04 elapsed=0.25 min
[train] step 3750/6103 loss=0.0026 lr=1.06e-04 elapsed=0.25 min
[train] step 3800/6103 loss=0.0026 lr=1.02e-04 elapsed=0.26 min
[train] step 3850/6103 loss=0.0026 lr=9.86e-05 elapsed=0.26 min
[train] step 3900/6103 loss=0.0026 lr=9.48e-05 elapsed=0.26 min
[train] step 3950/6103 loss=0.0026 lr=9.10e-05 elapsed=0.27 min
[train] step 4000/6103 loss=0.0026 lr=8.73e-05 elapsed=0.27 min
[eval] step 4000  val_loss=3.6558
[train] step 4050/6103 loss=0.0026 lr=8.36e-05 elapsed=0.28 min
[train] step 4100/6103 loss=0.0026 lr=8.00e-05 elapsed=0.28 min
[train] step 4150/6103 loss=0.0026 lr=7.64e-05 elapsed=0.28 min
[train] step 4200/6103 loss=0.0026 lr=7.29e-05 elapsed=0.28 min
[train] step 4250/6103 loss=0.0026 lr=6.95e-05 elapsed=0.29 min
[train] step 4300/6103 loss=0.0026 lr=6.61e-05 elapsed=0.29 min
[train] step 4350/6103 loss=0.0026 lr=6.27e-05 elapsed=0.29 min
[train] step 4400/6103 loss=0.0240 lr=5.95e-05 elapsed=0.30 min
[train] step 4450/6103 loss=0.0129 lr=5.62e-05 elapsed=0.30 min
[train] step 4500/6103 loss=0.0098 lr=5.31e-05 elapsed=0.30 min
[eval] step 4500  val_loss=3.3986
[train] step 4550/6103 loss=0.0075 lr=5.00e-05 elapsed=0.31 min
[train] step 4600/6103 loss=0.0062 lr=4.71e-05 elapsed=0.31 min
[train] step 4650/6103 loss=0.0046 lr=4.41e-05 elapsed=0.31 min
[train] step 4700/6103 loss=0.0031 lr=4.13e-05 elapsed=0.32 min
[train] step 4750/6103 loss=0.0027 lr=3.85e-05 elapsed=0.32 min
[train] step 4800/6103 loss=0.0026 lr=3.59e-05 elapsed=0.32 min
[train] step 4850/6103 loss=0.0026 lr=3.33e-05 elapsed=0.33 min
[train] step 4900/6103 loss=0.0026 lr=3.08e-05 elapsed=0.33 min
[train] step 4950/6103 loss=0.0026 lr=2.83e-05 elapsed=0.33 min
[train] step 5000/6103 loss=0.0026 lr=2.60e-05 elapsed=0.34 min
[eval] step 5000  val_loss=3.6087
